0.00,12.00
1.00,12.80
2.00,13.60
3.00,14.20
4.00,15.00
5.00,15.80
6.00,16.60
7.00,17.20
8.00,18.00
9.00,18.80
10.00,19.60
11.00,20.00
12.00,20.00
13.00,20.00
14.00,20.00
15.00,19.75
16.00,19.75
17.00,19.75
18.00,19.75
19.00,19.69
20.00,19.69
21.00,19.69
22.00,19.69
23.00,19.69
24.00,19.69
25.00,19.69
26.00,19.69
27.00,19.60
28.00,19.60
29.00,19.60
30.00,19.57
31.00,19.53
32.00,19.50
33.00,19.46
34.00,19.45
35.00,19.45
36.00,19.45
37.00,19.30
38.00,19.30
39.00,19.30
40.00,19.23
41.00,19.23
42.00,19.23
43.00,19.23
44.00,19.08
45.00,19.08
46.00,19.08
47.00,18.91
48.00,18.91
49.00,18.91
50.00,18.91
51.00,18.83
52.00,18.82
53.00,18.80
54.00,18.78
55.00,18.68
56.00,18.66
57.00,18.64
58.00,18.54
59.00,18.54
60.00,18.54
61.00,18.54
62.00,18.48
63.00,18.48
64.00,18.48
65.00,18.39
66.00,18.39
67.00,18.39
68.00,18.30
69.00,18.30
70.00,18.30
71.00,18.30
72.00,18.30
73.00,18.30
74.00,18.30
75.00,18.17
76.00,18.17
77.00,18.17
78.00,18.17
79.00,18.09
80.00,18.09
81.00,18.09
82.00,18.09
83.00,18.02
84.00,18.02
85.00,18.02
86.00,17.94
87.00,17.94
88.00,17.94
89.00,17.94
90.00,17.94
91.00,17.94
92.00,17.94
93.00,17.87
94.00,17.87
95.00,17.87
96.00,17.78
97.00,17.78
98.00,17.78
99.00,17.78
100.00,17.78
101.00,17.78
102.00,17.78
103.00,17.70
104.00,17.70
105.00,17.70
106.00,17.70
107.00,17.63
108.00,17.63
109.00,17.63
110.00,17.63
111.00,17.62
112.00,17.60
113.00,17.58
114.00,17.57
115.00,17.57
116.00,17.57
117.00,17.57
118.00,17.48
119.00,17.48
120.00,17.48
121.00,17.42
122.00,17.42
123.00,17.42
124.00,17.41
125.00,17.39
126.00,17.37
127.00,17.35
128.00,17.33
129.00,17.33
130.00,17.33
131.00,17.26
132.00,17.26
133.00,17.26
134.00,17.26
135.00,17.18
136.00,17.18
137.00,17.18
138.00,17.18
139.00,17.09
