Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330202201
Firmware Version,1.4
Calibration Date,3
ProtocolName_Number,TEST_124
TestStartTime,15:19:06
TestStartDate,2026/07/08
TestLength [D:H:M:S],0:0:0:40
Sample Interval [H:M:S],0.0:0.0:0.25
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm threshold [#/cm3],4000.000
Density [g/cm3],1.000
Refractive Index,1.500-0.000j
Shape Correction Factor,0.000
FlowCal,1.000
Deadtime Correction Factor,1
Errors,
Number of Samples,30
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
1,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
2,27,4,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
3,21,12,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.534,0,
4,37,27,38,18,11,44,34,71,124,183,223,119,57,15,4,3,0,0.565,33.185,0.000,101.565,0,
5,32,33,48,29,19,42,35,93,143,198,289,165,89,27,6,1,0,0.565,33.185,0.000,101.565,0,
6,30,18,24,12,12,23,17,42,61,94,133,84,50,25,4,5,2,0.565,33.185,0.000,101.565,0,
7,28,8,5,2,0,2,0,4,5,8,13,7,7,6,3,2,1,0.565,33.185,0.000,101.565,0,
8,26,8,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.565,33.185,0.000,101.565,0,
9,17,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.534,0,
10,23,11,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
11,34,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
12,29,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
13,34,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.565,33.185,0.000,101.534,0,
14,25,13,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
15,31,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.565,33.185,0.000,101.565,0,
16,33,11,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.565,33.185,0.000,101.534,0,
17,23,12,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
18,31,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
19,22,11,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.565,33.185,0.000,101.534,0,
20,26,11,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
21,33,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.565,33.185,0.000,101.534,0,
22,26,7,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
23,32,8,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.565,33.185,0.000,101.534,0,
24,30,9,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
25,22,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
26,35,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
27,21,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.534,0,
28,27,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.565,33.222,0.000,101.534,0,
29,36,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.565,33.222,0.000,101.565,0,
30,31,9,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.565,33.185,0.000,101.565,0,
