Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330202201
Firmware Version,1.4
Calibration Date,3
ProtocolName_Number,TEST_124
TestStartTime,16:15:15
TestStartDate,2026/07/08
TestLength [D:H:M:S],0:0:0:30
Sample Interval [H:M:S],0.0:0.0:0.25
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm threshold [#/cm3],4000.000
Density [g/cm3],1.000
Refractive Index,1.500-0.000j
Shape Correction Factor,0.000
FlowCal,1.000
Deadtime Correction Factor,1
Errors,
Number of Samples,20
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.565,0,
1,16,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
2,28,11,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.565,33.389,0.000,101.565,0,
3,24,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.565,0,
4,24,5,8,1,2,2,5,9,10,21,15,10,0,1,0,0,0,0.565,33.389,0.000,101.596,0,
5,42,32,47,22,16,47,40,80,133,209,244,99,43,14,0,0,0,0.565,33.389,0.000,101.596,0,
6,40,27,34,22,21,48,29,76,145,188,221,141,67,22,2,1,0,0.565,33.389,0.000,101.565,0,
7,35,13,18,15,17,30,17,38,83,104,151,66,51,13,6,4,1,0.565,33.389,0.000,101.596,0,
8,19,5,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.565,33.389,0.000,101.565,0,
9,27,9,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0.565,33.370,0.000,101.565,0,
10,22,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
11,16,11,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.565,33.370,0.000,101.596,0,
12,26,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.565,0,
13,27,11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.565,33.370,0.000,101.596,0,
14,27,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.370,0.000,101.565,0,
15,37,11,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.565,33.370,0.000,101.596,0,
16,29,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.370,0.000,101.565,0,
17,16,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.370,0.000,101.565,0,
18,19,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.565,33.370,0.000,101.565,0,
19,30,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.565,33.370,0.000,101.596,0,
20,27,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.565,33.370,0.000,101.596,0,
