Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330202201
Firmware Version,1.4
Calibration Date,3
ProtocolName_Number,TEST_124
TestStartTime,17:17:01
TestStartDate,2026/07/08
TestLength [D:H:M:S],0:0:0:30
Sample Interval [H:M:S],0.0:0.0:0.25
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm threshold [#/cm3],4000.000
Density [g/cm3],1.000
Refractive Index,1.500-0.000j
Shape Correction Factor,0.000
FlowCal,1.000
Deadtime Correction Factor,1
Errors,
Number of Samples,20
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
1,21,3,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0.565,33.389,0.000,101.565,0,
2,26,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.565,33.389,0.000,101.565,0,
3,27,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
4,39,7,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
5,24,15,24,13,17,22,20,35,49,69,68,36,12,1,0,0,0,0.565,33.389,0.000,101.565,0,
6,18,7,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0.565,33.389,0.000,101.565,0,
7,24,6,1,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0.565,33.389,0.000,101.565,0,
8,26,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.565,33.389,0.000,101.565,0,
9,21,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
10,26,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
11,26,11,1,2,1,0,0,2,0,0,0,0,0,0,0,1,0,0.565,33.389,0.000,101.565,0,
12,34,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
13,28,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
14,28,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.565,33.389,0.000,101.596,0,
15,24,8,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0.565,33.389,0.000,101.596,0,
16,19,8,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0.565,33.389,0.000,101.565,0,
17,27,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0.565,33.389,0.000,101.565,0,
18,25,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0.565,33.389,0.000,101.565,0,
19,29,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.565,33.389,0.000,101.565,0,
20,27,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.565,33.389,0.000,101.565,0,
