Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330202201
Firmware Version,1.4
Calibration Date,3
ProtocolName_Number,TEST_124
TestStartTime,11:53:44
TestStartDate,2026/07/08
TestLength [D:H:M:S],0:0:0:40
Sample Interval [H:M:S],0.0:0.0:0.25
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm threshold [#/cm3],4000.000
Density [g/cm3],1.000
Refractive Index,1.500-0.000j
Shape Correction Factor,0.000
FlowCal,1.000
Deadtime Correction Factor,1
Errors,
Number of Samples,30
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.070,0.000,101.502,0,
1,32,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.070,0.000,101.502,0,
2,24,10,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.070,0.000,101.502,0,
3,28,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.565,28.070,0.000,101.502,0,
4,24,16,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0.565,28.070,0.000,101.502,0,
5,39,13,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.565,28.070,0.000,101.502,0,
6,29,16,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.565,28.070,0.000,101.502,0,
7,18,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.070,0.000,101.534,0,
8,40,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.070,0.000,101.534,0,
9,27,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.105,0.000,101.534,0,
10,32,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.105,0.000,101.502,0,
11,27,10,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.565,28.105,0.000,101.502,0,
12,31,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.105,0.000,101.502,0,
13,39,10,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.565,28.105,0.000,101.502,0,
14,22,14,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.565,28.105,0.000,101.502,0,
15,26,7,5,2,3,4,3,5,9,20,17,19,3,2,0,0,0,0.565,28.105,0.000,101.502,0,
16,34,19,11,4,5,6,4,9,15,29,27,18,12,4,2,0,0,0.565,28.105,0.000,101.502,0,
17,30,10,3,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0.565,28.105,0.000,101.502,0,
18,29,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.105,0.000,101.534,0,
19,28,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.105,0.000,101.534,0,
20,45,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.105,0.000,101.502,0,
21,32,8,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.565,28.123,0.000,101.502,0,
22,24,8,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.565,28.105,0.000,101.502,0,
23,41,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.123,0.000,101.502,0,
24,34,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.123,0.000,101.502,0,
25,27,12,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.123,0.000,101.502,0,
26,28,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.123,0.000,101.534,0,
27,30,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.565,28.123,0.000,101.502,0,
28,29,15,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.565,28.123,0.000,101.534,0,
29,23,11,5,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0.565,28.123,0.000,101.502,0,
30,32,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,28.123,0.000,101.534,0,
