time_ms,flow_rate_lps,sol_valve,trig
0,0.0,0,1
1,0.0,0,0
2,0.0,0,0
3,0.0,0,0
4,0.0,0,0
5,0.0,0,0
6,0.0,0,0
7,0.0,0,0
8,0.0,0,0
9,0.0,0,0
10,0.0,0,0
11,0.0,0,0
12,0.0,0,0
13,0.0,0,0
14,0.0,0,0
15,0.0,0,0
16,0.0,0,0
17,0.0,0,0
18,0.0,0,0
19,0.0,0,0
20,0.0,0,0
21,0.0,0,0
22,0.0,0,0
23,0.0,0,0
24,0.0,0,0
25,0.0,0,0
26,0.0,0,0
27,0.0,0,0
28,0.0,0,0
29,0.0,0,0
30,0.0,0,0
31,0.0,0,0
32,0.0,0,0
33,0.0,0,0
34,0.0,0,0
35,0.0,0,0
36,0.0,0,0
37,0.0,0,0
38,0.0,0,0
39,0.0,0,0
40,0.0,0,0
41,0.0,0,0
42,0.0,0,0
43,0.0,0,0
44,0.0,0,0
45,0.0,0,0
46,0.0,0,0
47,0.0,0,0
48,0.0,0,0
49,0.0,0,0
50,0.0,1,0
51,0.0,1,0
52,0.0,1,0
53,0.0,1,0
54,0.0,1,0
55,0.0,1,0
56,0.0025242291215322545,1,0
57,0.012365783061042909,1,0
58,0.030917737628753637,1,0
59,0.0586947414788567,1,0
60,0.09582074100746807,1,0
61,0.14219030927375553,1,0
62,0.1975496722650611,1,0
63,0.2615448699931276,1,0
64,0.3337532658766312,1,0
65,0.41370546466063585,1,0
66,0.5009012044540804,1,0
67,0.5948212179050206,1,0
68,0.6949362666989676,1,0
69,0.8007141200910151,1,0
70,0.911624994330873,1,0
71,1.027145813046739,1,0
72,1.1467635474637037,1,0
73,1.269977827575159,1,0
74,1.3963029685682773,1,0
75,1.5252695235680644,1,0
76,1.6564254496067103,1,0
77,1.7893369557990604,1,0
78,1.9235890891582352,1,0
79,2.058786103080482,1,0
80,2.1945516454200704,1,0
81,2.3305287966740273,1,0
82,2.4663799836841402,1,0
83,2.60178679013744,1,0
84,2.7364496817844786,1,0
85,2.870087661532077,1,0
86,3.0024378672793888,1,0
87,3.133255123458263,1,0
88,3.2623114556378376,1,0
89,3.3893955762019017,1,0
90,3.514312347961187,1,0
91,3.636882231585611,1,0
92,3.756940721905138,1,0
93,3.8743377774094836,1,0
94,3.988937246657508,1,0
95,4.100616294771741,1,0
96,4.209264832729264,1,0
97,4.314784951757005,1,0
